ID,Scientificname,Commonname,ex_grade,grade,year,trueyear,type,nowgrade,index1,index2,ex_danger,danger,trueyear
1,Cephalophus spadix,Abbott’s Duiker,VU,EN,1,2007,MAMMALS,EN,变差,0,受威胁,受威胁,0
5,Procapra picticaudata,Tibetan Gazelle,LC,NT,1,2007,MAMMALS,NT,变差,0,不受威胁,不受威胁,0
13,Gavialis gangeticus,Gharial,EN,CR,1,2007,REPTILES,CR,变差,0,受威胁,受威胁,0
9,Neophron percnopterus,Egyptian Vulture,LC,EN,1,2007,BIRDS,EN,变差,1,不受威胁,受威胁,0
2,Gazella spekei,Speke’s Gazelle,VU,EN,2,2007,MAMMALS,EN,变差,0,受威胁,受威胁,0
6,Branta ruficollis,Red-breasted Goose,VU,EN,2,2007,BIRDS,EN,变差,0,受威胁,受威胁,0
10,Phoebastria irrorata,Waved Albatross,VU,CR,2,2007,BIRDS,CR,变差,0,受威胁,受威胁,0
14,Serranochromis meridianus,Lowveld Largemouth,LR/cd,EN,2,2007,FISHES,EN,变差,1,不受威胁,受威胁,0
3,Gorilla gorilla,Western Gorilla,EN,CR,3,2007,MAMMALS,CR,变差,0,受威胁,受威胁,0
7,Charadrius sanctaehelenae,St Helena Plover,VU,CR,3,2007,BIRDS,CR,变差,0,受威胁,受威胁,0
11,Psittacula eques,Mauritius Parakeet,CR,EN,3,2007,BIRDS,EN,变好,0,受威胁,受威胁,0
4,Lipotes vexillifer,Baiji,CR,CR,4,2007,MAMMALS,CR,变好,0,受威胁,受威胁,0
8,Houbaropsis bengalensis,Bengal Florican,EN,CR,4,2007,BIRDS,CR,变差,0,受威胁,受威胁,0
12,Sarcogyps calvus,Red-headed Vulture,LC,VU,4,2007,BIRDS,VU,变差,1,不受威胁,受威胁,0
19,Balaena mysticetus,Bowhead Whale,LR/cd,LC,6,2008,MAMMALS,LC,变好,0,不受威胁,不受威胁,1
23,Capra pyrenaica,Spanish Ibex,NT,LC,6,2008,MAMMALS,LC,变好,0,不受威胁,不受威胁,1
27,Eschrichtius robustus,Gray Whale,LR/cd,LC,6,2008,MAMMALS,LC,变好,0,不受威胁,不受威胁,1
39,Pseudochirulus cinereus,Daintree River Ringtail Possum,NT,LC,6,2008,MAMMALS,LC,变好,0,不受威胁,不受威胁,1
43,Rhinoceros unicornis,Indian Rhinoceros,EN,VU,6,2008,MAMMALS,VU,变好,0,受威胁,受威胁,1
47,Leporillus conditor,Greater Stick-nest Rat,EN,VU,6,2008,MAMMALS,VU,变好,0,受威胁,受威胁,1
59,Cephalophus jentinki,Jentink's Duiker,VU,EN,6,2008,MAMMALS,EN,变差,0,受威胁,受威胁,1
63,Rucervus eldii,Eld's Deer,VU,EN,6,2008,MAMMALS,EN,变差,0,受威胁,受威胁,1
67,Lonchorhina fernandezi,Fernandez's Sword-Nosed Bat,VU,EN,6,2008,MAMMALS,EN,变差,0,受威胁,受威胁,1
71,Pteropus niger,Mauritan Flying Fox,VU,EN,6,2008,MAMMALS,EN,变差,0,受威胁,受威胁,1
75,Rhinolophus cognatus,Andaman Horseshoe Bat,VU,EN,6,2008,MAMMALS,EN,变差,0,受威胁,受威胁,1
83,Dendrolagus scottae,Tenkile,EN,CR,6,2008,MAMMALS,CR,变差,0,受威胁,受威胁,1
115,Pseudomys fumeus,Smoky Mouse,VU,EN,6,2008,MAMMALS,EN,变差,0,受威胁,受威胁,1
119,Octodon pacificus,NULL,VU,CR,6,2008,MAMMALS,CR,变差,0,受威胁,受威胁,1
131,Numenius arquata,Eurasian Curlew,LC,NT,6,2008,BIRDS,NT,变差,0,不受威胁,不受威胁,1
135,Centropus violaceus,Violaceous Coucal,LC,NT,6,2008,BIRDS,NT,变差,0,不受威胁,不受威胁,1
139,Coracina newtoni,Réunion Cuckooshrike,EN,CR,6,2008,BIRDS,CR,变差,0,受威胁,受威胁,1
143,Melidectes whitemanensis,Bismarck Melidectes,LC,NT,6,2008,BIRDS,NT,变差,0,不受威胁,不受威胁,1
151,Astrochelys radiata,Radiated Tortoise,VU,CR,6,2008,REPTILES,CR,变差,0,受威胁,受威胁,1
155,Incilius holdridgei,NULL,CR,EX,6,2008,AMPHIBIANS,EX,变差,0,受威胁,受威胁,1
159,Pseudoeurycea gigantea,NULL,EN,CR,6,2008,AMPHIBIANS,CR,变差,0,受威胁,受威胁,1
55,Aonyx cinerea,Asian Small-Clawed Otter,NT,VU,6,2008,MAMMALS,VU,变差,1,不受威胁,受威胁,1
79,Dasyurus hallucatus,Northern Quoll,NT,EN,6,2008,MAMMALS,EN,变差,1,不受威胁,受威胁,1
87,Bettongia penicillata,Woylie,LR/cd,CR,6,2008,MAMMALS,CR,变差,1,不受威胁,受威胁,1
91,Manis pentadactyla,Chinese Pangolin,NT,EN,6,2008,MAMMALS,EN,变差,1,不受威胁,受威胁,1
95,Macaca tonkeana,Tonkean Macaque,NT,VU,6,2008,MAMMALS,VU,变差,1,不受威胁,受威胁,1
99,Hylobates agilis,Agile Gibbon,NT,EN,6,2008,MAMMALS,EN,变差,1,不受威胁,受威胁,1
103,Hylobates muelleri,Müller's Bornean Gibbon,NT,EN,6,2008,MAMMALS,EN,变差,1,不受威胁,受威胁,1
107,Microtus oaxacensis,Tarabundi Vole,NT,EN,6,2008,MAMMALS,EN,变差,1,不受威胁,受威胁,1
111,Xenomys nelsoni,Magedelena Wood Rat,NT,EN,6,2008,MAMMALS,EN,变差,1,不受威胁,受威胁,1
123,Pteromyscus pulverulentus,Smoky Flying Squirrel,NT,EN,6,2008,MAMMALS,EN,变差,1,不受威胁,受威胁,1
147,Cacatua ophthalmica,Blue-eyed Cockatoo,LC,VU,6,2008,BIRDS,VU,变差,1,不受威胁,受威胁,1
